"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significance"
"ADRB2",-0.274852984279873,4.73103042805165,-4.12513153236054,4.36068272555595e-05,8.3884214322012e-05,0.966698357238311,"Not_significant"
"NPEPPS",0.217979409739188,4.33765189433819,4.12473434079164,4.36795769068722e-05,8.40052389915774e-05,0.965118527268325,"Not_significant"
"NETO2",0.266335972839713,3.03246978272934,4.1241427352735,4.37881495778265e-05,8.41950890464242e-05,0.962765678397851,"Not_significant"
"PPM1F",0.261521797242334,4.81588331547521,4.1223724592706,4.41145701933542e-05,8.4803633585739e-05,0.955727068506071,"Not_significant"
"ZCCHC14",-0.180894121288262,3.03186337345833,-4.11742200275886,4.5039717558679e-05,8.65626074862009e-05,0.936059025401018,"Not_significant"
"OGT",-0.201084942316029,5.10727113135227,-4.11573827474839,4.53585596519867e-05,8.71557835742673e-05,0.929374635345447,"Not_significant"
"FBXO22",0.131144601955262,2.84025075869955,4.11353972665645,4.57781249232945e-05,8.79421873526448e-05,0.920650249369466,"Not_significant"
"DDX5",-0.263054067024067,6.13340360083305,-4.11143320350788,4.61835896812373e-05,8.87011557156392e-05,0.912295118132731,"Not_significant"
"CD72",-0.250266019408364,3.31610733736088,-4.11056471809575,4.6351748793956e-05,8.90041111621354e-05,0.908851594334417,"Not_significant"
"PABPC5",0.245996203949569,2.13029205636364,4.10859989482042,4.67343364033524e-05,8.97185810791263e-05,0.901063620300185,"Not_significant"
"TARBP2",-0.160099073618045,3.38719609746901,-4.1073816675704,4.69730543597072e-05,9.01565971429796e-05,0.896236674090826,"Not_significant"
"GPBP1L1",0.172162779769498,4.61385702892286,4.10709985723406,4.70284414994547e-05,9.02426238703308e-05,0.895120255329433,"Not_significant"
"CBR1",-0.180525991819218,3.60050824091735,-4.10682729806132,4.70820694979418e-05,9.03252371028573e-05,0.894040553891578,"Not_significant"
"BCR",-0.162281217018523,3.79692923220206,-4.10554291929747,4.73355641355813e-05,9.07911639977543e-05,0.888953583327735,"Not_significant"
"HCST",-0.217865532613883,5.86738207727996,-4.10201070247099,4.80394198832693e-05,9.21204951106877e-05,0.874971371999974,"Not_significant"
"BCAP31",0.23244664820683,6.04264680274621,4.10160270606922,4.81213585433951e-05,9.22569075912766e-05,0.873357049291359,"Not_significant"
"XIAP",0.169129772441879,4.10847022277947,4.10082718774,4.82774738634886e-05,9.25354363258653e-05,0.870288962425768,"Not_significant"
"VRK3",-0.235589608118239,4.0333224476281,-4.10020371394659,4.84033310724242e-05,9.27558561116391e-05,0.867822782843184,"Not_significant"
"MCTS1",0.165069048355005,3.7190298595978,4.1001180116652,4.8420655691511e-05,9.27682414224306e-05,0.86748381082483,"Not_significant"
"TLR10",0.29794857321144,3.55144668151894,4.09816714778485,4.88166191912217e-05,9.35058857394538e-05,0.859769487765847,"Not_significant"
"F11R",0.18338788521697,4.47796519538998,4.09783432100265,4.88844791966283e-05,9.36148737260992e-05,0.858453729013577,"Not_significant"
"IKBKB",-0.160764161394365,3.73402566166219,-4.09650842057163,4.91557083696647e-05,9.41131820635074e-05,0.853213057720334,"Not_significant"
"PRDX1",0.251454422154767,5.74184449967872,4.09548398610866,4.93662482811517e-05,9.44950978416219e-05,0.849165025339305,"Not_significant"
"SH3GL1",0.164039858156752,3.82766947296539,4.0940875772279,4.96546170600922e-05,9.50257863119533e-05,0.84364866455471,"Not_significant"
"SMG9",-0.199555144989038,3.25945907881267,-4.09246020683173,4.99927020511924e-05,9.5651359368108e-05,0.837222129869021,"Not_significant"
"DYNLRB1",0.215462497142587,5.04971885879442,4.09172863183182,5.01453982903196e-05,9.59220261584814e-05,0.834333894797705,"Not_significant"
