cell_type_level1,n_cells,mean_score_Final10,median_score_Final10,mean_score_NestedRecurrent,median_score_NestedRecurrent,mean_score_MyeloidInnateUp,median_score_MyeloidInnateUp
Monocyte/Myeloid,16990,0.103198476090323,0.0858701999085162,0.0657113946691065,0.0329620521362292,0.0741198244065684,0.0238362901103626
Dendritic cell,524,0.00558429130004686,0.00499985399667893,-0.0464673352437115,-0.0445526564802737,-0.0293681770104029,-0.0446174314984819
Erythroid,912,-0.0256322277226366,-0.0201801992318973,-0.0190825884005591,-0.0164080956539428,-0.00315813483104675,-0.00481852740756441
Platelet,5256,-0.0535593887116548,-0.0675848614262838,-0.00218356903827971,-0.0676264941140637,-0.0266139479209627,-0.0251180263112089
B/Plasma cell,12737,-0.0862435033084135,-0.107028135090729,-0.104582083776647,-0.120184551855574,-0.0325015536522417,-0.0316992980971471
T/NK cell,23324,-0.125562653940511,-0.126852382666505,-0.138613140303159,-0.138430748554688,-0.033215262557573,-0.0326082745824001
