gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
CD177,GSE137340,14,43,4.84320548114286,6.19967237805233,4.274549700375,5.93976807,1.35646689690947,Up_in_Sepsis,0.867109634551495,1.15818527714491e-05,GSE65682
CD177,GSE236713,30,125,-4.59570063022222,0.997677143048,-4.8352926,1.18436154666667,5.59337777327022,Up_in_Sepsis,0.978933333333333,4.22217230068948e-16,GSE65682
CD177,GSE54514,18,35,8.04642282583333,8.34422796814286,7.585268259,7.933347225,0.297805142309523,Up_in_Sepsis,0.546031746031746,0.595788354333167,GSE65682
CD177,GSE57065,25,28,5.1301448,11.2849585714286,5.00765,11.48255,6.15481377142857,Up_in_Sepsis,0.998571428571429,4.42509124931643e-15,GSE65682
CD177,GSE95233,22,51,5.19170742772727,11.2084004954902,5.25854487,11.39021861,6.01669306776292,Up_in_Sepsis,1,1.60188706567253e-11,GSE65682
VNN1,GSE137340,14,43,5.84198521592857,8.33127632462791,5.2407587655,8.28171284,2.48929110869934,Up_in_Sepsis,0.833887043189369,8.99233343862789e-05,GSE65682
VNN1,GSE236713,30,125,-2.51087958666667,0.174100949376,-2.3667963,0.22361732,2.68498053604267,Up_in_Sepsis,0.966933333333334,2.22338235075182e-15,GSE65682
VNN1,GSE54514,18,35,8.22397820144444,8.80589087351429,8.2312779425,8.825949669,0.581912672069842,Up_in_Sepsis,0.73015873015873,0.0066488422773127,GSE65682
VNN1,GSE57065,25,28,5.4584908,9.17175178571429,5.309355,9.329995,3.71326098571429,Up_in_Sepsis,0.995714285714286,1.54878193726075e-14,GSE65682
VNN1,GSE95233,22,51,6.12347101727273,9.81471244029412,6.2628003225,9.948698,3.69124142302139,Up_in_Sepsis,1,1.60188706567253e-11,GSE65682
TLR5,GSE137340,14,43,7.45698871914286,9.88626998116279,7.152195425,10.11726915,2.42928126201993,Up_in_Sepsis,0.857142857142857,6.99054388330195e-05,GSE65682
TLR5,GSE236713,30,125,-1.76521059833333,0.342181207492,-1.726134175,0.4524085465,2.10739180582533,Up_in_Sepsis,0.986133333333333,1.52795650971528e-16,GSE65682
TLR5,GSE54514,18,35,8.65817268636111,8.86676242032857,8.6723899845,8.870217563,0.208589733967461,Up_in_Sepsis,0.663492063492063,0.0536371037869218,GSE65682
TLR5,GSE57065,25,28,6.7654072,9.0116675,6.80244,9.13032,2.2462603,Up_in_Sepsis,0.997142857142857,8.85018249863286e-15,GSE65682
TLR5,GSE95233,22,51,7.09033071954546,9.28910596784314,7.022787335,9.43570202,2.19877524829768,Up_in_Sepsis,0.989304812834225,4.27867888939574e-11,GSE65682
S100A8,GSE137340,14,43,11.7670707607143,13.8612130895349,11.6478577,13.9794618,2.0941423288206,Up_in_Sepsis,0.900332225913621,8.24610608071691e-06,GSE65682
S100A8,GSE236713,30,125,-1.74534144333333,0.245866349664,-1.83901405,0.19146156,1.99120779299733,Up_in_Sepsis,0.993333333333333,5.44853176760137e-17,GSE65682
S100A8,GSE54514,18,35,14.4818180944444,14.455229432,14.509645465,14.56532383,-0.0265886624444445,Down_in_Sepsis,0.484126984126984,0.858264733607146,GSE65682
S100A8,GSE57065,25,28,9.4961188,10.2673585714286,9.421735,10.24313,0.771239771428572,Up_in_Sepsis,0.88,3.59733314920835e-07,GSE65682
S100A8,GSE95233,22,51,10.7613722531818,13.0814998472549,10.6646902575,13.108627835,2.32012759407308,Up_in_Sepsis,1,1.60188706567253e-11,GSE65682
S100P,GSE137340,14,43,7.11713931071429,10.6221696755814,7.245426574,10.78611659,3.50503036486711,Up_in_Sepsis,0.893687707641196,1.67917460911234e-06,GSE65682
S100P,GSE236713,30,125,-2.98257649866667,0.092648548928,-3.066798,0.20399523,3.07522504759467,Up_in_Sepsis,0.974933333333333,7.3791217923107e-16,GSE65682
S100P,GSE54514,18,35,10.8642796408889,11.5575663426571,10.817378045,11.22842979,0.693286701768255,Up_in_Sepsis,0.665079365079365,0.0512864999292285,GSE65682
S100P,GSE57065,25,28,8.7936928,11.40341,9.09986,11.5109,2.6097172,Up_in_Sepsis,0.985714285714286,3.07543841827492e-13,GSE65682
S100P,GSE95233,22,51,8.66531628136364,11.8757753331373,8.813103335,11.93590325,3.21045905177362,Up_in_Sepsis,0.998217468805704,1.88955739655682e-11,GSE65682
