gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
VNN1,2.71132579778121,2.42173273563614e-59,Up_in_Sepsis,5,5,1,0.905338678479144,0.966933333333334,0.73015873015873,5,TRUE,TRUE,0.896077810478035,GSE65682,1,strict
RNASE2,2.24096714428539,1.86459004157794e-45,Up_in_Sepsis,5,5,1,0.891229287520505,0.904266666666667,0.683333333333333,4,TRUE,TRUE,0.861493863761486,GSE65682,2,strict
LILRA6,1.1343472195998,1.17602652340892e-41,Up_in_Sepsis,5,5,1,0.887928293685339,0.958571428571428,0.704761904761905,5,TRUE,TRUE,0.824765553932478,GSE65682,3,strict
S100P,2.70505406820107,4.90441330582001e-57,Up_in_Sepsis,5,5,1,0.903526432114777,0.974933333333333,0.665079365079365,4,TRUE,TRUE,0.884319331411105,GSE65682,4,strict
SLC26A8,2.19418171262527,2.57471027276364e-42,Up_in_Sepsis,5,5,1,0.918048465740066,0.944533333333334,0.788888888888889,5,TRUE,TRUE,0.8835843225803,GSE65682,5,strict
TDRD9,2.91863057804797,1.16062811795546e-54,Up_in_Sepsis,5,5,1,0.893605915871634,0.99,0.619047619047619,4,TRUE,TRUE,0.879874552803252,GSE65682,6,strict
CD177,4.34670585511603,1.15917165504539e-59,Up_in_Sepsis,5,5,1,0.878129228497601,0.978933333333333,0.546031746031746,4,TRUE,TRUE,0.868717918002477,GSE65682,7,strict
ANKRD22,3.14288405518033,7.20211177771024e-47,Up_in_Sepsis,5,5,1,0.877062414174972,0.958933333333333,0.571428571428571,4,TRUE,TRUE,0.865757400746829,GSE65682,8,strict
TNFAIP6,2.19321981941252,7.3843423664123e-56,Up_in_Sepsis,5,5,1,0.895069239828419,0.944285714285714,0.677777777777778,4,TRUE,TRUE,0.865614072008343,GSE65682,9,strict
MMP9,3.2355509224021,1.93806102160699e-46,Up_in_Sepsis,5,5,1,0.865951683495104,0.978571428571428,0.558730158730159,4,TRUE,TRUE,0.859748929309267,GSE65682,10,strict
