gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
TDRD9,2.6887950950294,1.86798598450678e-51,Up_in_Sepsis,5,5,1,0.880381232058715,0.927637721755369,0.619047619047619,4,TRUE,TRUE,0.865981390438641,GSE95233,1,strict
LILRA6,1.0496061748321,4.23337020369575e-35,Up_in_Sepsis,5,5,1,0.854866584153041,0.823996265172736,0.704761904761905,5,TRUE,TRUE,0.807091119537892,GSE95233,2,strict
WFDC1,2.0361776077212,6.1539075868707e-26,Up_in_Sepsis,5,5,1,0.831235878661542,0.879084967320262,0.562698412698413,4,TRUE,TRUE,0.805815330875258,GSE95233,3,strict
C3AR1,1.29216595795714,1.13527763605167e-28,Up_in_Sepsis,5,5,1,0.831119433695959,0.875415282392027,0.69281045751634,4,TRUE,TRUE,0.801858017978244,GSE95233,4,strict
RAB31,0.688837182559955,5.94923785266276e-29,Up_in_Sepsis,5,5,1,0.84289952880377,0.880398671096345,0.630952380952381,4,TRUE,TRUE,0.776731700976581,GSE95233,5,strict
VNN1,2.20970910413005,2.77909264070655e-47,Up_in_Sepsis,5,5,1,0.88106230126159,0.878618113912232,0.73015873015873,5,TRUE,TRUE,0.864830633590949,GSE95233,6,strict
CD177,3.47883881789793,1.0329277575602e-45,Up_in_Sepsis,5,5,1,0.852545661737563,0.872082166199814,0.546031746031746,4,TRUE,TRUE,0.852788708538785,GSE95233,7,strict
RETN,2.98424506494402,1.44111896195922e-43,Up_in_Sepsis,5,5,1,0.847454016893579,0.869747899159664,0.53015873015873,4,TRUE,TRUE,0.847028201018408,GSE95233,8,strict
TCN1,2.31764479210256,6.33543680032269e-39,Up_in_Sepsis,5,5,1,0.858624492649773,0.877217553688142,0.623015873015873,4,TRUE,TRUE,0.840324891501753,GSE95233,9,strict
RNASE3,1.89976957054712,2.55014688077795e-32,Up_in_Sepsis,5,5,1,0.866541652443923,0.871615312791784,0.715873015873016,5,TRUE,TRUE,0.839792900490292,GSE95233,10,strict
