gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
DDAH2,1.30600467167595,8.29399810309904e-34,Up_in_Sepsis,5,5,1,0.840947730184392,0.8874883286648,0.507936507936508,4,TRUE,TRUE,0.780596288845027,GSE236713,32,strict
EXOSC4,1.23666479906343,2.65124453921971e-28,Up_in_Sepsis,5,5,1,0.838046941962127,0.843604108309991,0.547619047619047,4,TRUE,TRUE,0.780469721904879,GSE236713,33,strict
COL17A1,1.14881122580594,2.10471488377264e-24,Up_in_Sepsis,5,5,1,0.840201862281206,0.906629318394024,0.557142857142857,4,TRUE,TRUE,0.777774191260594,GSE236713,34,strict
TOR1A,0.56988368361106,7.01252685852372e-24,Up_in_Sepsis,5,5,1,0.84698665766518,0.863787375415283,0.633333333333333,4,TRUE,TRUE,0.772018515701024,GSE236713,35,strict
UBE2J1,1.06210677324395,1.43754540550741e-31,Up_in_Sepsis,5,5,1,0.830211716540034,0.848837209302326,0.534920634920635,4,TRUE,TRUE,0.771636944349758,GSE236713,36,strict
SIGLEC5,0.871426426178799,2.3572637093475e-23,Up_in_Sepsis,5,5,1,0.81714841990355,0.802325581395349,0.634920634920635,4,TRUE,TRUE,0.77160138565854,GSE236713,37,strict
MBOAT2,0.730798130163985,2.85616777646993e-26,Up_in_Sepsis,5,5,1,0.839026872200607,0.817460317460318,0.598412698412698,4,TRUE,TRUE,0.770553355846701,GSE236713,38,strict
LDHA,1.04623547653419,2.60563106179829e-29,Up_in_Sepsis,5,5,1,0.831272056109265,0.853820598006645,0.533333333333333,4,TRUE,TRUE,0.770111779061304,GSE236713,39,strict
SAR1B,0.872340873907282,1.18827483422338e-32,Up_in_Sepsis,5,5,1,0.835023697992234,0.893090569561158,0.541269841269841,4,TRUE,TRUE,0.768489341168224,GSE236713,40,strict
NECAB1,0.926492795777857,1.56398196340065e-24,Up_in_Sepsis,5,5,1,0.834366664495255,0.88,0.552380952380952,4,TRUE,TRUE,0.767671452752949,GSE236713,41,strict
FIG4,0.98643932236843,9.53017964899022e-28,Up_in_Sepsis,5,5,1,0.82015124471212,0.863787375415282,0.550793650793651,4,TRUE,TRUE,0.766063743470204,GSE236713,42,strict
PAG1,0.794465854898173,6.53534706593e-26,Up_in_Sepsis,5,5,1,0.816037340376602,0.789036544850498,0.59047619047619,4,TRUE,TRUE,0.763259058538433,GSE236713,43,strict
CHCHD1,0.729787051375145,3.99060155232278e-27,Up_in_Sepsis,5,5,1,0.812402757297422,0.825581395348837,0.604761904761905,4,TRUE,TRUE,0.762580966630644,GSE236713,44,strict
CAPG,0.881133143548947,7.01085929717134e-23,Up_in_Sepsis,5,5,1,0.815969240973345,0.840802987861812,0.56031746031746,4,TRUE,TRUE,0.760085072547642,GSE236713,45,strict
CYB5R1,0.716894431271418,7.69392029688055e-25,Up_in_Sepsis,5,5,1,0.822768695356931,0.919701213818861,0.517460317460317,4,TRUE,TRUE,0.751541498194836,GSE236713,46,strict
CEACAM21,0.737616118503564,1.35581196525052e-23,Up_in_Sepsis,5,5,1,0.812055307817278,0.872093023255814,0.531746031746032,4,TRUE,TRUE,0.750002366716918,GSE236713,47,strict
