gene_symbol,global_logFC,global_adjP,global_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,max_auc,n_auc_ge_070,n_auc_ge_075,n_auc_ge_080,n_wilcox_p_lt_005,immune_GO_keyword_hit,score_direction,score_auc,score_min_auc,score_logfc,score_p,score_go,priority_score,passes_screening
SIGLEC9,1.11783879868987,7.67218759463547e-42,Up_in_Sepsis,6,6,1,0.846685227363203,0.897209302325581,0.617460317460318,0.981283422459893,5,4,4,5,FALSE,1,0.928605311258862,0.845652173913044,0.174222441378571,0.311960828268204,0,0.712758868498221,TRUE
NAIP,1.13762683001146,2.30085112342629e-32,Up_in_Sepsis,6,6,1,0.819301341339919,0.905921594684385,0.538095238095238,0.995714285714286,4,4,4,5,TRUE,1,0.89253403515749,0.73695652173913,0.180147195620431,0.0635114661616781,1,0.711676914767349,TRUE
FAM89A,1.32134564532337,5.27855293097627e-38,Up_in_Sepsis,6,6,1,0.858733889741003,0.882982502768549,0.592063492063492,0.987142857142857,5,5,5,5,FALSE,1,0.944476346761724,0.810869565217391,0.235154629793089,0.211353960724067,0,0.711381929352496,TRUE
EMILIN2,0.990096145822539,5.19624420098353e-31,Up_in_Sepsis,6,6,1,0.832399897877873,0.880485492801772,0.552380952380952,0.962857142857143,5,5,4,5,TRUE,1,0.909788038077611,0.756521739130434,0.135974885967817,0.0280200561385374,1,0.709612910801875,TRUE
UPP1,1.17437279227313,8.04848642373036e-47,Up_in_Sepsis,6,6,1,0.840548657705977,0.902504983388704,0.533333333333333,1,5,4,4,5,FALSE,1,0.920521947990665,0.730434782608695,0.191149340919421,0.442496262708305,0,0.708643829197248,TRUE
MS4A3,1.90600451457445,3.46283854688263e-36,Up_in_Sepsis,6,6,1,0.820527927835452,0.863853998258923,0.546031746031746,0.9632,5,5,5,5,FALSE,1,0.8941497496001,0.747826086956521,0.410207926371279,0.163721437587305,0,0.708322170637931,TRUE
GNAQ,0.784520720177453,5.10890127233862e-32,Up_in_Sepsis,6,6,1,0.815733579953005,0.831356855638661,0.603174603174603,0.9656,5,3,3,5,TRUE,1,0.887834420722135,0.826086956521739,0.0744233422432956,0.0544291800735223,1,0.706869789038748,TRUE
RAB31,0.744369145125778,1.46451510829669e-41,Up_in_Sepsis,6,6,1,0.86477515695026,0.900199335548173,0.630952380952381,0.97415329768271,5,5,5,5,FALSE,1,0.952434173394582,0.864130434782608,0.0624015190139556,0.304600006606763,0,0.705170045748536,TRUE
OLFM4,3.71089843456121,2.95161129583685e-51,Up_in_Sepsis,6,5,0.833333333333333,0.863076673713883,0.919385247432306,0.465079365079365,0.985739750445633,5,5,5,5,FALSE,0.5,0.95019685551644,0.636956521739131,0.950613019468274,0.558781926692779,0,0.704072680505321,TRUE
CKAP4,1.22546488714671,5.37853262406835e-40,Up_in_Sepsis,6,6,1,0.858282965279135,0.891100280112045,0.552380952380952,1,5,5,5,5,FALSE,1,0.943882368947506,0.756521739130435,0.206446876126853,0.263572566979722,0,0.703967259670817,TRUE
KIF1B,1.1554854251148,1.82027860290933e-39,Up_in_Sepsis,6,6,1,0.856302172793007,0.936935548172757,0.570961718020541,1,5,4,4,5,FALSE,1,0.941273180733463,0.781969309462915,0.185494255435156,0.24969181170516,0,0.702470670125266,TRUE
ZDHHC3,0.670672816660433,8.25449652260908e-38,Up_in_Sepsis,6,6,1,0.867631523100196,0.865028197945845,0.674603174603174,1,5,5,5,6,FALSE,1,0.956196706292702,0.923913043478261,0.0403360276273407,0.206263427109685,0,0.702122715264619,TRUE
LAIR1,0.909673008038856,1.84438322961675e-30,Up_in_Sepsis,6,6,1,0.801572340169331,0.83169822595705,0.587301587301587,0.959001782531194,5,4,4,5,TRUE,1,0.869180604030803,0.804347826086957,0.111895313877806,0.0135969534449378,1,0.699550347548449,TRUE
NUSAP1,1.03331739289866,2.09627991130084e-31,Up_in_Sepsis,6,6,1,0.86638286940804,0.886743977591037,0.665079365079365,0.964285714285714,5,5,5,5,FALSE,1,0.954551923954416,0.910869565217391,0.148915802767021,0.0383555065355113,0,0.699168933037538,TRUE
EXOSC4,1.23752045610514,4.39143621809645e-39,Up_in_Sepsis,6,6,1,0.849883562746217,0.876335387488329,0.547619047619047,0.99,5,5,5,5,FALSE,1,0.932818301283996,0.75,0.210056446081726,0.239664966066398,0,0.697820453904097,TRUE
GSTO1,0.989800032145464,2.32696830044781e-42,Up_in_Sepsis,6,6,1,0.846969932271711,0.864949080407357,0.56031746031746,0.999108734402852,5,5,5,5,FALSE,1,0.928980337263333,0.767391304347826,0.135886226275712,0.325544153522668,0,0.696740146124798,TRUE
RABGEF1,0.615435349138261,1.01072324482508e-30,Up_in_Sepsis,6,6,1,0.836921635612196,0.903832558139535,0.564425770308123,0.997142857142857,4,4,4,4,TRUE,1,0.915744272708959,0.773017902813299,0.0237973222506942,0.0204450996910346,1,0.69629007554139,TRUE
COL17A1,1.53603743826353,3.59462267816533e-31,Up_in_Sepsis,6,6,1,0.858479329678783,0.915108679130567,0.557142857142857,0.957142857142857,5,5,5,5,FALSE,1,0.944141028893364,0.763043478260869,0.299435714163876,0.0322155854464688,0,0.695835746076368,TRUE
S100A12,2.01259510068222,1.51394521184634e-56,Up_in_Sepsis,6,5,0.833333333333333,0.865390778740437,0.935868881506091,0.479365079365079,1,5,5,5,5,TRUE,0.5,0.953245097875813,0.656521739130435,0.442122320325942,0.69746386324123,1,0.695516524605323,TRUE
ASPH,1.35503082364302,6.8669714723611e-39,Up_in_Sepsis,6,6,1,0.845990313663638,0.928096566998892,0.515873015873016,0.988571428571428,5,4,4,5,FALSE,1,0.927689939937848,0.706521739130435,0.245240342711859,0.234574879286447,0,0.694528782186343,TRUE
BATF,0.927559263111281,6.4657568878621e-31,Up_in_Sepsis,6,6,1,0.823030499246915,0.895627021040975,0.507936507936508,0.998217468805704,4,4,4,5,TRUE,1,0.897446248288034,0.695652173913043,0.117250655391528,0.0255313646550539,1,0.693722435347601,TRUE
FGR,0.699682338698548,3.51206730925744e-33,Up_in_Sepsis,6,6,1,0.813104388290435,0.866461794019934,0.536507936507937,0.970666666666667,4,4,4,5,TRUE,1,0.88437113219167,0.734782608695652,0.0490217976241845,0.0849123581456348,1,0.69137323642004,TRUE
EIF4G3,0.790162586150366,1.35819630417882e-31,Up_in_Sepsis,6,6,1,0.855534195844182,0.888601993355482,0.681139122315593,1,5,4,4,6,FALSE,1,0.940261567241608,0.932864450127878,0.0761125789749232,0.0432968971703011,0,0.687754714254933,TRUE
ACER3,1.18200547814887,3.19057894131704e-33,Up_in_Sepsis,6,6,1,0.848281193539196,0.880599526632359,0.578571428571429,0.997326203208556,5,5,4,5,FALSE,1,0.930707589092394,0.792391304347826,0.193434651028554,0.0860053956404826,0,0.685686709598224,TRUE
LCN2,2.63594891405212,4.58554723027538e-45,Up_in_Sepsis,6,5,0.833333333333333,0.842739011639422,0.886380908952728,0.473015873015873,0.993761140819965,5,5,5,5,TRUE,0.5,0.923407179890398,0.647826086956522,0.628761308809541,0.396469225422316,1,0.683157185874261,TRUE
GLA,0.910436998370776,4.48355049970828e-45,Up_in_Sepsis,6,6,1,0.847429817555399,0.910415282392026,0.473015873015873,0.989866666666667,5,5,5,5,FALSE,1,0.929586118671742,0.647826086956522,0.112124060986915,0.396725333454857,0,0.682540891138524,TRUE
