validation_dataset,fixed_training_threshold,local_youden_threshold,threshold_shift,abs_threshold_shift,fixed_sensitivity,fixed_specificity,fixed_accuracy,fixed_PPV,fixed_NPV,local_sensitivity,local_specificity,local_accuracy,local_PPV,local_NPV
GSE137340,0.587135604330135,0.627509519016644,0.0403739146865091,0.0403739146865091,0.837209302325582,0.285714285714286,0.701754385964912,0.782608695652174,0.363636363636364,0.813953488372093,0.714285714285714,0.789473684210526,0.897435897435897,0.555555555555556
GSE236713,0.686803603302378,5.4498788995782e-05,-0.686749104513383,0.686749104513383,0.056,1,0.238709677419355,1,0.202702702702703,0.968,1,0.974193548387097,1,0.882352941176471
GSE54514,0.775434477751213,0.99427732348561,0.218842845734398,0.218842845734398,1,0,0.660377358490566,0.660377358490566,0,0.485714285714286,0.833333333333333,0.60377358490566,0.85,0.454545454545455
GSE57065,0.761642546212696,0.0644714709703008,-0.697171075242395,0.697171075242395,0.75,1,0.867924528301887,1,0.78125,1,1,1,1,1
GSE65682,0.588487298393046,0.0837053446005556,-0.50478195379249,0.50478195379249,0,1,0.451612903225806,0,0.451612903225806,0.745098039215686,0.785714285714286,0.763440860215054,0.808510638297872,0.717391304347826
GSE95233,0.841493509282162,0.271595733871669,-0.569897775410493,0.569897775410493,0.647058823529412,1,0.753424657534247,1,0.55,1,1,1,1,1
