gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
VNN1,2.43571170846096,1.51790137289857e-66,Up_in_Sepsis,5,5,1,0.914284892623716,0.966933333333334,0.73015873015873,5,TRUE,TRUE,0.893623290447255,GSE137340,1,strict
RETN,2.95655470269506,9.37347033780974e-52,Up_in_Sepsis,5,5,1,0.874016100500806,0.9864,0.53015873015873,4,TRUE,TRUE,0.859495317917556,GSE137340,2,strict
LILRA6,1.09849704695111,4.42052887103597e-44,Up_in_Sepsis,5,5,1,0.892926882268059,0.958571428571428,0.704761904761905,5,TRUE,TRUE,0.826532525624136,GSE137340,3,strict
TDRD9,2.87930125067471,1.9114446102838e-66,Up_in_Sepsis,5,5,1,0.904382629657924,0.99,0.619047619047619,4,TRUE,TRUE,0.88822709073445,GSE137340,4,strict
CD177,4.17928005471885,1.9114446102838e-66,Up_in_Sepsis,5,5,1,0.879123734827264,0.978933333333333,0.546031746031746,4,TRUE,TRUE,0.872457388235514,GSE137340,5,strict
TCN1,2.47518197159045,2.7240194456488e-50,Up_in_Sepsis,5,5,1,0.884538113912232,0.9296,0.623015873015873,4,TRUE,TRUE,0.860329181439593,GSE137340,6,strict
ARG1,2.96031791497934,8.3261443025632e-44,Up_in_Sepsis,5,5,1,0.867062408963585,0.988533333333333,0.519047619047619,4,TRUE,TRUE,0.851546027860299,GSE137340,7,strict
RNASE3,1.89429190955178,1.68473664415267e-40,Up_in_Sepsis,5,5,1,0.888639117222647,0.8912,0.715873015873016,5,TRUE,TRUE,0.851434441049523,GSE137340,8,strict
ANKRD22,2.71065815451948,5.67978226121373e-46,Up_in_Sepsis,5,5,1,0.861280597572362,0.958933333333333,0.571428571428571,4,TRUE,TRUE,0.850140600838419,GSE137340,9,strict
GRB10,2.24142450559296,1.42826394616007e-54,Up_in_Sepsis,5,5,1,0.879386727782022,0.994652406417112,0.604761904761905,4,TRUE,TRUE,0.850136386387733,GSE137340,10,strict
VNN1,2.36192043951011,4.4768824344845e-45,Up_in_Sepsis,5,5,1,0.887675634594923,0.878618113912232,0.73015873015873,5,TRUE,TRUE,0.871115475104182,GSE236713,1,strict
CD177,3.31475457790894,1.22643783040994e-44,Up_in_Sepsis,5,5,1,0.856758995070897,0.872082166199814,0.546031746031746,4,TRUE,TRUE,0.853726087410477,GSE236713,2,strict
TDRD9,2.32844522220637,4.67132425349188e-46,Up_in_Sepsis,5,5,1,0.880840126889375,0.927637721755369,0.619047619047619,4,TRUE,TRUE,0.851431308001495,GSE236713,3,strict
TCN1,2.46713649677194,1.79478823252589e-39,Up_in_Sepsis,5,5,1,0.872704492649773,0.877217553688142,0.623015873015873,4,TRUE,TRUE,0.850509829998817,GSE236713,4,strict
RNASE3,1.88724629029746,6.39827881698375e-31,Up_in_Sepsis,5,5,1,0.883488818219324,0.871615312791784,0.715873015873016,5,TRUE,TRUE,0.84460721685362,GSE236713,5,strict
ZDHHC19,2.39721292718173,1.25847916741549e-28,Up_in_Sepsis,5,5,1,0.85915405767663,0.907563025210084,0.565079365079365,4,TRUE,TRUE,0.829322999506085,GSE236713,6,strict
RETN,2.56955219140596,1.01178350139608e-32,Up_in_Sepsis,5,5,1,0.847500220102135,0.869747899159664,0.53015873015873,4,TRUE,TRUE,0.827798082476426,GSE236713,7,strict
ANKRD22,2.28910830625933,4.64877072778026e-37,Up_in_Sepsis,5,5,1,0.843912535556859,0.872093023255814,0.571428571428571,4,TRUE,TRUE,0.825553614303936,GSE236713,8,strict
CEACAM8,2.56735380984621,1.57818048873351e-33,Up_in_Sepsis,5,5,1,0.844871138589333,0.899626517273576,0.501587301587302,4,TRUE,TRUE,0.822922375737651,GSE236713,9,strict
TP53I3,1.47897527765112,1.58483243459002e-43,Up_in_Sepsis,5,5,1,0.877081189064773,0.881419234360411,0.628571428571429,4,TRUE,TRUE,0.821963314704724,GSE236713,10,strict
STOM,1.29880090727282,1.40864640946439e-41,Up_in_Sepsis,5,5,1,0.872173408898443,0.874883286647993,0.663492063492063,4,TRUE,TRUE,0.818503465217715,GSE236713,11,strict
CD24,2.03380161001589,2.24813421245021e-36,Up_in_Sepsis,5,5,1,0.849807249749794,0.930905695611578,0.568253968253968,4,TRUE,TRUE,0.818288108533639,GSE236713,12,strict
UGCG,1.67198885764681,3.5354341061087e-33,Up_in_Sepsis,5,5,1,0.849612158323513,0.898671096345515,0.650793650793651,4,TRUE,TRUE,0.816942043580229,GSE236713,13,strict
CLEC5A,1.7087087801019,5.26523435033694e-35,Up_in_Sepsis,5,5,1,0.847143848095969,0.868770764119601,0.611111111111111,4,TRUE,TRUE,0.812263263984002,GSE236713,14,strict
PTTG1,1.06774006883595,2.97873358885814e-28,Up_in_Sepsis,5,5,1,0.876279148727849,0.918003565062389,0.706349206349206,5,TRUE,TRUE,0.812004402803671,GSE236713,15,strict
HMMR,1.03609125417319,2.84210026143936e-25,Up_in_Sepsis,5,5,1,0.875152233691221,0.893090569561158,0.704761904761905,5,TRUE,TRUE,0.808827122948034,GSE236713,16,strict
LTF,2.3110394084972,1.6294664144979e-35,Up_in_Sepsis,5,5,1,0.818106059619056,0.904295051353875,0.50952380952381,4,TRUE,TRUE,0.807194316538398,GSE236713,17,strict
C3AR1,1.29405483699927,1.52519692789903e-25,Up_in_Sepsis,5,5,1,0.839398649382233,0.875415282392027,0.69281045751634,4,TRUE,TRUE,0.803254594183625,GSE236713,18,strict
ARG1,1.87457169925565,1.64383644019215e-29,Up_in_Sepsis,5,5,1,0.850086639306886,0.903654485049834,0.519047619047619,4,TRUE,TRUE,0.802265260621295,GSE236713,19,strict
GRB10,1.34022400830561,2.67943141188852e-35,Up_in_Sepsis,5,5,1,0.851639751037836,0.86046511627907,0.604761904761905,4,TRUE,TRUE,0.800748310865492,GSE236713,20,strict
CDKN2C,0.920004863319326,3.03472455614399e-36,Up_in_Sepsis,5,5,1,0.886733625092038,0.944911297852475,0.607936507936508,4,TRUE,TRUE,0.799973014110561,GSE236713,21,strict
MS4A4A,1.64125468832595,9.97688314222063e-36,Up_in_Sepsis,5,5,1,0.847068290882245,0.87375415282392,0.53968253968254,4,TRUE,TRUE,0.799635274929322,GSE236713,22,strict
