gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
VNN1,2.43571170846096,4.67262695063934,21.5950950929097,1.77719397365481e-70,1.51790137289857e-66,149.771365710173,Up_in_Sepsis
CD177,4.17928005471885,5.43285352685441,21.4834170266156,5.64781760293111e-70,1.9114446102838e-66,148.624098884158,Up_in_Sepsis
TDRD9,2.87930125067471,3.78086240711241,21.4667182722183,6.71389044708042e-70,1.9114446102838e-66,148.4525283837,Up_in_Sepsis
MS4A4A,2.16026961455554,3.83662457458431,19.5527458855762,2.74490854690396e-61,5.86106597477668e-58,128.774314839982,Up_in_Sepsis
DACH1,1.78817969552004,3.3664350837217,19.4137704764346,1.15642047104288e-60,1.97539744863544e-57,127.346899180316,Up_in_Sepsis
TP53I3,1.59199806515612,4.26341020057494,19.3418764138733,2.43290424173068e-60,3.46323918810362e-57,126.608696723008,Up_in_Sepsis
GRB10,2.24142450559296,3.92068624870043,18.7441308923228,1.17057108337671e-57,1.42826394616007e-54,120.478524631625,Up_in_Sepsis
S100A12,1.84982030486286,7.65837932190281,18.5118977096636,1.28389211450118e-56,1.37071531874432e-53,118.101324946743,Up_in_Sepsis
RETN,2.95655470269506,5.13645425084778,18.0899743056775,9.87720794289752e-55,9.37347033780974e-52,113.790641218383,Up_in_Sepsis
NLRC4,1.44200942876045,4.08620107321156,17.9521412484159,4.07030840057159e-54,3.4764504049282e-51,112.385078502574,Up_in_Sepsis
DDAH2,1.33067966683662,4.49485290531225,17.8972673738922,7.1497855800164e-54,5.55148351262909e-51,111.825897525472,Up_in_Sepsis
ABLIM1,-1.21333312291371,3.80044868236241,-17.8193710277127,1.59012504534706e-53,1.13177150102577e-50,111.032517755674,Down_in_Sepsis
HLA-DPB1,-1.31574513159546,3.96124072619906,-17.8112115546298,1.72894410184955e-53,1.13591627491515e-50,110.949441163604,Down_in_Sepsis
GPR84,2.71678557805829,4.90135296286651,17.7764836490137,2.46867491197506e-53,1.50606803022707e-50,110.595916006813,Up_in_Sepsis
TCN1,2.47518197159045,5.10624702203747,17.7119493464924,4.7840172912694e-53,2.7240194456488e-50,109.939232062149,Up_in_Sepsis
S100P,2.01509141622744,6.87653330163466,17.6404898013524,9.94889675899548e-53,5.31084545116128e-50,109.212492347037,Up_in_Sepsis
WIPI1,1.18662054455739,4.76277717766628,17.6236606297013,1.18204384482742e-52,5.93872734039473e-50,109.041405197018,Up_in_Sepsis
