gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
VNN1,2.43571170846096,1.51790137289857e-66,Up_in_Sepsis,5,5,1,0.914284892623716,0.966933333333334,0.73015873015873,5,TRUE,TRUE,0.893623290447255,GSE137340,1,strict
RETN,2.95655470269506,9.37347033780974e-52,Up_in_Sepsis,5,5,1,0.874016100500806,0.9864,0.53015873015873,4,TRUE,TRUE,0.859495317917556,GSE137340,2,strict
LILRA6,1.09849704695111,4.42052887103597e-44,Up_in_Sepsis,5,5,1,0.892926882268059,0.958571428571428,0.704761904761905,5,TRUE,TRUE,0.826532525624136,GSE137340,3,strict
TDRD9,2.87930125067471,1.9114446102838e-66,Up_in_Sepsis,5,5,1,0.904382629657924,0.99,0.619047619047619,4,TRUE,TRUE,0.88822709073445,GSE137340,4,strict
CD177,4.17928005471885,1.9114446102838e-66,Up_in_Sepsis,5,5,1,0.879123734827264,0.978933333333333,0.546031746031746,4,TRUE,TRUE,0.872457388235514,GSE137340,5,strict
TCN1,2.47518197159045,2.7240194456488e-50,Up_in_Sepsis,5,5,1,0.884538113912232,0.9296,0.623015873015873,4,TRUE,TRUE,0.860329181439593,GSE137340,6,strict
ARG1,2.96031791497934,8.3261443025632e-44,Up_in_Sepsis,5,5,1,0.867062408963585,0.988533333333333,0.519047619047619,4,TRUE,TRUE,0.851546027860299,GSE137340,7,strict
RNASE3,1.89429190955178,1.68473664415267e-40,Up_in_Sepsis,5,5,1,0.888639117222647,0.8912,0.715873015873016,5,TRUE,TRUE,0.851434441049523,GSE137340,8,strict
ANKRD22,2.71065815451948,5.67978226121373e-46,Up_in_Sepsis,5,5,1,0.861280597572362,0.958933333333333,0.571428571428571,4,TRUE,TRUE,0.850140600838419,GSE137340,9,strict
GRB10,2.24142450559296,1.42826394616007e-54,Up_in_Sepsis,5,5,1,0.879386727782022,0.994652406417112,0.604761904761905,4,TRUE,TRUE,0.850136386387733,GSE137340,10,strict
