"dataset","platform","n_samples","n_probes_input","n_probe2gene_available","n_genes_after_collapse","n_control","n_sepsis"
"GSE137340","GPL10558",57,45023,34004,20563,14,43
"GSE236713","GPL17077",155,50739,46204,32080,30,125
"GSE54514","GPL6947",53,24840,29276,13627,18,35
"GSE57065","GPL570",53,54675,44647,21355,25,28
"GSE65682","GPL13667",93,24646,24550,11537,42,51
"GSE95233","GPL570",73,54675,44647,21355,22,51
