gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
TDRD9,3.10792790579076,1.09042065685818e-72,Up_in_Sepsis,5,5,1,0.955323936413184,0.99,0.87375415282392,5,TRUE,TRUE,0.951407703633127,GSE54514,1,strict
ARG1,3.37209030358829,1.51630704771495e-54,Up_in_Sepsis,5,5,1,0.943983782164029,0.988533333333333,0.827731092436975,5,TRUE,TRUE,0.931463594046178,GSE54514,2,strict
IL1R2,2.96994826631624,4.05898670866241e-50,Up_in_Sepsis,5,5,1,0.922459925737737,0.9416,0.840531561461794,5,TRUE,TRUE,0.92263477495675,GSE54514,3,strict
ELANE,2.10763200798911,1.42640899601159e-33,Up_in_Sepsis,5,5,1,0.892002129246343,0.892857142857143,0.859010270774977,5,TRUE,TRUE,0.877729564084188,GSE54514,4,strict
VSIG4,2.25842697789634,2.99255162864488e-32,Up_in_Sepsis,5,5,1,0.895056139823089,0.908571428571429,0.753968253968254,5,TRUE,TRUE,0.867407765470652,GSE54514,5,strict
SNX3,1.02894672999694,1.21066309942956e-40,Up_in_Sepsis,5,5,1,0.897687528716913,0.883720930232558,0.7696,5,TRUE,TRUE,0.833887347731413,GSE54514,6,strict
PSMA6,0.997502205736464,5.74630922380139e-35,Up_in_Sepsis,5,5,1,0.845632244587758,0.858803986710963,0.676266666666666,4,TRUE,TRUE,0.797781664633865,GSE54514,7,strict
PCOLCE2,3.4638609586383,1.07892396239479e-50,Up_in_Sepsis,5,5,1,0.964594796746042,0.977866666666666,0.916900093370682,5,TRUE,TRUE,0.950126697447376,GSE54514,8,strict
CD177,4.36830905615463,1.31517820908594e-72,Up_in_Sepsis,5,5,1,0.943339312531214,0.978933333333333,0.867109634551495,5,TRUE,TRUE,0.946175712266389,GSE54514,9,strict
OLFM4,4.23757840057086,5.08310859458769e-57,Up_in_Sepsis,5,5,1,0.942676135440787,0.926237161531279,0.910299003322259,5,TRUE,TRUE,0.94462843320862,GSE54514,10,strict
