gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,global_direction
TDRD9,3.10792790579076,3.54754594526102,22.9017284876623,1.27668968137007e-76,1.09042065685818e-72,163.869508964349,Up_in_Sepsis
CD177,4.36830905615463,5.14463029050832,22.8168645313006,3.07968202572518e-76,1.31517820908594e-72,162.994969117744,Up_in_Sepsis
VNN1,2.6974114417876,4.59166263272854,22.0669861129455,7.46530018117946e-73,2.12537096158179e-69,155.254463377528,Up_in_Sepsis
DACH1,1.90035640419181,3.05763003684957,21.0382414897755,3.36671036310041e-68,7.18876830281015e-65,144.608928173661,Up_in_Sepsis
S100A12,2.2933212580581,7.28809999949768,20.9551070341134,8.00959809714723e-68,1.36819954695469e-64,143.747912654777,Up_in_Sepsis
TP53I3,1.71266323566871,3.9951417737761,20.865695820577,2.0344829370472e-67,2.89608646088668e-64,142.821836919397,Up_in_Sepsis
RETN,3.32125449724374,4.867846759942,20.8495015857103,2.40869168226977e-67,2.93894795118088e-64,142.654100755968,Up_in_Sepsis
MS4A4A,2.22488596475455,3.46413123435499,20.4513244531489,1.53013368392554e-65,1.633608974301e-62,138.529770332774,Up_in_Sepsis
ANXA3,3.00318250917441,5.71020344219258,20.4268819092526,1.97423122513549e-65,1.87354543265358e-62,138.276605896642,Up_in_Sepsis
S100A8,1.42434396428625,7.83195614892807,20.1384328702971,3.99236689942616e-64,3.40988056879988e-61,135.289362254943,Up_in_Sepsis
GPR84,3.01280373820157,4.6717330344826,20.0713098956725,8.03595053875425e-64,6.23955032286364e-61,134.594360374892,Up_in_Sepsis
GRB10,2.34646954333632,3.64479515701528,19.7640238602852,1.97422268786588e-62,1.40515299808854e-59,131.413679938647,Up_in_Sepsis
TCN1,2.76068436310502,4.90384422666126,19.6684763627322,5.33981968960015e-62,3.5082615360673e-59,130.425098899152,Up_in_Sepsis
CA4,2.61165321687202,4.81065065767053,19.4604210224464,4.65702598166552e-61,2.84111849352894e-58,128.273325151909,Up_in_Sepsis
BCL9L,-1.09262720623611,3.15756904891299,-19.3507732868576,1.45735464392744e-60,8.29817734252285e-58,127.139861447266,Down_in_Sepsis
IRAK3,2.14404254343731,5.03300912633623,19.2706089437911,3.35489816928708e-60,1.79088657899256e-57,126.311445622457,Up_in_Sepsis
OLFM4,4.23757840057086,4.14213841545592,19.1644453964511,1.0117415537758e-59,5.08310859458769e-57,125.214732969527,Up_in_Sepsis
GADD45A,2.27997736428187,5.16668604467053,19.0443037327734,3.5264118592012e-59,1.67328242719097e-56,123.974182167254,Up_in_Sepsis
S100P,2.37922043910246,6.711371486471,18.9587508185453,8.57645380381417e-59,3.8553416809672e-56,123.091176842456,Up_in_Sepsis
ABLIM1,-1.27172891475142,3.59177659680936,-18.7697533499534,6.10134678703553e-58,2.60558014540352e-55,121.141763084513,Down_in_Sepsis
BCL11B,-1.72277131788721,3.37861601315198,-18.6715243421709,1.69036424720582e-57,6.87495287399281e-55,120.129320224524,Down_in_Sepsis
ARG1,3.37209030358829,4.43228315443967,18.590753801412,3.90572006202189e-57,1.51630704771495e-54,119.297228628696,Up_in_Sepsis
ATP6V1C1,1.29184463759617,4.09216333584455,18.5738664104644,4.65292821144723e-57,1.7278547762596e-54,119.123304309422,Up_in_Sepsis
CARD6,1.24824262743903,4.19749556441067,18.4401022503444,1.86059115207679e-56,6.62137876245327e-54,117.746273277168,Up_in_Sepsis
UPP1,1.32303148652438,5.0713413826918,18.4239046722359,2.20041782603883e-56,7.51750746087907e-54,117.579604114279,Up_in_Sepsis
LCN2,3.02334790239668,6.16777891645243,18.3793216834604,3.49135714110164e-56,1.14691082085189e-53,117.120943977885,Up_in_Sepsis
CD3E,-1.67033982478714,3.39294670486543,-18.3576369011818,4.3700849825108e-56,1.38240354946758e-53,116.897902979654,Down_in_Sepsis
LIN7A,1.41108324757487,3.73939310406264,18.2816384171167,9.59562171823727e-56,2.92700732483802e-53,116.11646347518,Up_in_Sepsis
DDAH2,1.53255374870853,4.44551912044857,18.2116598222641,1.97899834027125e-55,5.82849131870922e-53,115.397276648263,Up_in_Sepsis
CCPG1,1.32311597031349,4.23408920666987,18.1874952172044,2.54078228861953e-55,7.23360717569981e-53,115.149012303422,Up_in_Sepsis
NLRC4,1.63289313730347,3.9147095355089,18.1803772630814,2.7348299360158e-55,7.53489757532612e-53,115.075891336668,Up_in_Sepsis
ANKRD22,2.99991132211831,4.56328421730858,18.1703496136988,3.0335861953173e-55,8.09683115443908e-53,114.972886065849,Up_in_Sepsis
TNFAIP6,1.97527514441077,5.36401904582598,18.1503501985828,3.73033539610162e-55,9.65478624791028e-53,114.767471593643,Up_in_Sepsis
LILRA5,1.60082154155853,5.4063492231918,18.0557084968167,9.91940206629961e-55,2.49181214847838e-52,113.795810125987,Up_in_Sepsis
NELL2,-2.01151843171084,3.04703093306496,-18.0167303460827,1.48363491995215e-54,3.62049310037466e-52,113.395831083806,Down_in_Sepsis
HP,2.6454288438578,4.55231757877417,18.0123373426331,1.55249140539789e-54,3.68328585930649e-52,113.350759190343,Up_in_Sepsis
WIPI1,1.32408449470305,4.54064892406845,17.8811959810868,6.01001273498876e-54,1.38733834512268e-51,112.00597127896,Up_in_Sepsis
ZDHHC19,2.6837316289238,4.34816420381438,17.8563555574112,7.76523519609425e-54,1.7453387844695e-51,111.7514044364,Up_in_Sepsis
UBE2J1,1.22199602984939,5.02092393434126,17.8526919585073,8.06426462913725e-54,1.76607395378106e-51,111.713863938801,Up_in_Sepsis
CLEC4D,2.21119501622824,4.92656838851508,17.7781261736508,1.73962445352942e-53,3.7145331143987e-51,110.950045053419,Up_in_Sepsis
RNASE2,2.19516555182379,5.6296456596949,17.7256913142207,2.98622968171209e-53,6.22082627109827e-51,110.413214547086,Up_in_Sepsis
ZNF438,1.51234811942781,4.0349513822065,17.7009830280351,3.85182413029193e-53,7.83295949924367e-51,110.160334430482,Up_in_Sepsis
ST6GALNAC3,1.71670286713388,3.17962163475058,17.6819514413921,4.68593579932208e-53,9.30757620046741e-51,109.965590590717,Up_in_Sepsis
TLR5,1.728743388248,5.3377475889246,17.6684163672464,5.38680463049021e-53,1.04565223520493e-50,109.827110659847,Up_in_Sepsis
KCNE1,1.7445724700206,2.92542397262993,17.6650180859698,5.5786449592899e-53,1.05882681327322e-50,109.792344810348,Up_in_Sepsis
PCOLCE2,3.4638609586383,3.01088957235267,17.6610575865161,5.81085379582721e-53,1.07892396239479e-50,109.75182856053,Up_in_Sepsis
FYN,-1.25278248781956,4.39082067772467,-17.5919604326935,1.18342183249687e-52,2.15055444071399e-50,109.045191213403,Down_in_Sepsis
RGL4,2.1899053478845,5.98463864526682,17.5800387677855,1.33787658104362e-52,2.38058414139448e-50,108.923316650641,Up_in_Sepsis
IL1R2,2.96994826631624,6.42112593998917,17.52616358897,2.32865412392528e-52,4.05898670866241e-50,108.37272152302,Up_in_Sepsis
DRAM1,1.42156042127237,3.92444347887355,17.4905081544155,3.35993095317741e-52,5.73943405421764e-50,108.008482395248,Up_in_Sepsis
UBE2C,1.41386707825168,3.16963169108294,17.3647332347599,1.22339291283394e-51,2.04882330755191e-49,106.72462747024,Up_in_Sepsis
CEACAM8,2.7834564741815,4.36243554097332,17.3521157369266,1.39261136547663e-51,2.28736416779536e-49,106.595921730657,Up_in_Sepsis
ATP8B4,1.66898580006621,3.89391723208585,17.3181805772219,1.97296086567645e-51,3.17944504787595e-49,106.249845007125,Up_in_Sepsis
GLA,1.03352937844971,4.57366645222119,17.2465330911178,4.11494240211882e-51,6.5084672326846e-49,105.519566987869,Up_in_Sepsis
RUNX3,-1.14631796294426,3.65394231639907,-17.1824200487962,7.94029125673896e-51,1.23305504770559e-48,104.866549604842,Down_in_Sepsis
