file_path,relative_path,file_name,dir_name,extension,size_mb,modified_time,file_class,gsm_guess
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5102905_P50_T6_features.tsv.gz,GSM5102905_P50_T6_features.tsv.gz,GSM5102905_P50_T6_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-01-31 20:35:56,features_or_genes_tsv,GSM5102905
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5102905_P50_T6_matrix.mtx.gz,GSM5102905_P50_T6_matrix.mtx.gz,GSM5102905_P50_T6_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,30.693,2020-01-31 20:35:56,matrix_mtx,GSM5102905
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511351_NSES_T0_barcodes.tsv.gz,GSM5511351_NSES_T0_barcodes.tsv.gz,GSM5511351_NSES_T0_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.022,2020-07-31 06:29:15,barcodes_tsv,GSM5511351
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511351_NSES_T0_features.tsv.gz,GSM5511351_NSES_T0_features.tsv.gz,GSM5511351_NSES_T0_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 06:29:15,features_or_genes_tsv,GSM5511351
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511351_NSES_T0_matrix.mtx.gz,GSM5511351_NSES_T0_matrix.mtx.gz,GSM5511351_NSES_T0_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,20.79,2020-07-31 06:29:15,matrix_mtx,GSM5511351
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511352_NSES_T6_barcodes.tsv.gz,GSM5511352_NSES_T6_barcodes.tsv.gz,GSM5511352_NSES_T6_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.031,2020-07-31 07:25:57,barcodes_tsv,GSM5511352
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511352_NSES_T6_features.tsv.gz,GSM5511352_NSES_T6_features.tsv.gz,GSM5511352_NSES_T6_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 07:25:56,features_or_genes_tsv,GSM5511352
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511352_NSES_T6_matrix.mtx.gz,GSM5511352_NSES_T6_matrix.mtx.gz,GSM5511352_NSES_T6_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,26.945,2020-07-31 07:25:56,matrix_mtx,GSM5511352
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511353_S2_T0_barcodes.tsv.gz,GSM5511353_S2_T0_barcodes.tsv.gz,GSM5511353_S2_T0_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.035,2020-07-31 17:00:12,barcodes_tsv,GSM5511353
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511353_S2_T0_features.tsv.gz,GSM5511353_S2_T0_features.tsv.gz,GSM5511353_S2_T0_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 17:00:12,features_or_genes_tsv,GSM5511353
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511353_S2_T0_matrix.mtx.gz,GSM5511353_S2_T0_matrix.mtx.gz,GSM5511353_S2_T0_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,31.619,2020-07-31 17:00:12,matrix_mtx,GSM5511353
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511354_S2_T6_barcodes.tsv.gz,GSM5511354_S2_T6_barcodes.tsv.gz,GSM5511354_S2_T6_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.029,2020-07-31 17:54:25,barcodes_tsv,GSM5511354
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511354_S2_T6_features.tsv.gz,GSM5511354_S2_T6_features.tsv.gz,GSM5511354_S2_T6_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 17:54:24,features_or_genes_tsv,GSM5511354
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511354_S2_T6_matrix.mtx.gz,GSM5511354_S2_T6_matrix.mtx.gz,GSM5511354_S2_T6_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,32.597,2020-07-31 17:54:24,matrix_mtx,GSM5511354
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511355_S3_T0_barcodes.tsv.gz,GSM5511355_S3_T0_barcodes.tsv.gz,GSM5511355_S3_T0_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.015,2020-07-31 17:47:23,barcodes_tsv,GSM5511355
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511355_S3_T0_features.tsv.gz,GSM5511355_S3_T0_features.tsv.gz,GSM5511355_S3_T0_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 17:47:23,features_or_genes_tsv,GSM5511355
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511355_S3_T0_matrix.mtx.gz,GSM5511355_S3_T0_matrix.mtx.gz,GSM5511355_S3_T0_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,18.705,2020-07-31 17:47:23,matrix_mtx,GSM5511355
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511356_S3_T6_barcodes.tsv.gz,GSM5511356_S3_T6_barcodes.tsv.gz,GSM5511356_S3_T6_barcodes.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.028,2020-07-31 20:39:31,barcodes_tsv,GSM5511356
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511356_S3_T6_features.tsv.gz,GSM5511356_S3_T6_features.tsv.gz,GSM5511356_S3_T6_features.tsv.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,0.291,2020-07-31 20:39:31,features_or_genes_tsv,GSM5511356
/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW/GSM5511356_S3_T6_matrix.mtx.gz,GSM5511356_S3_T6_matrix.mtx.gz,GSM5511356_S3_T6_matrix.mtx.gz,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/01_raw_data/scRNA/GSE167363/RAW,gz,29.991,2020-07-31 20:39:31,matrix_mtx,GSM5511356
