metric,value
dataset,GSE167363
n_samples,12
n_cells_before_QC,61695
n_cells_after_QC,59743
fraction_cells_retained,0.968360483021314
n_genes_after_CreateSeuratObject,23025
n_genes_after_QC,23025
qc_min_features,200
qc_max_features,6000
qc_max_percent_mt,20
n_pcs,30
cluster_resolution,0.5
n_clusters,25
n_variable_features,2000
n_scaled_features,2005
n_signature_genes_checked,16
n_signature_genes_present,16
n_signature_genes_scaled,16
