gene_symbol,g0,g1,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g2,g20,g21,g22,g23,g24,g3,g4,g5,g6,g7,g8,g9
ZDHHC19,0.00285839125834894,0.00519560583059678,7.0294569843306,0.0229840930105553,0.00812849966202966,0.0330825494104865,0.0035929327874375,0.0756549570321175,0.199904980825247,0.0334217251073432,0.00103847034149474,0.118018140215546,0.0956570282162884,0,0.0731299922801582,0.0069867726420341,0.0118320846257975,0.0189428380917743,0.00295746511332916,0.0114562553969412,0.00992654306212321,0.0642073196039436,0.00556862295522778,0.0987419879498887,0.00365452154363896
HK3,0.00345337138649509,0.00203353384053076,0.858250364179088,0.00136947637112317,0,0.27860878770595,0.00298283180965646,0.0551228639717678,0.201961662494708,0.10094087396213,0.0228764220754306,0.208833272267976,0.00291252592262442,0.28959499924103,0,0,0.00375812694952836,0.00717331812589891,0.00196181230057818,0.00708565484612602,0,0.244359638015688,0.15137781594252,0.355311568096712,0.000382730730177514
ARG1,0.00284106149177767,0.00255793443080538,1.42063517730499,0.00120782005510317,0.00392622695248468,0.00131615413468593,0.0664581568436351,0.00312039969432442,0.000310444883972311,0.0250718560106728,0.000602721456136464,0.00649350649350649,0.00186994174300848,0,0,0.0113544371154263,0,0,0.00411041298821574,0.00060328913234957,0.00241422117427848,8.47555957975124e-05,0,0.000428261306205549,0.00400122994701751
VNN1,0.000822701170114216,0,0.551765874561336,0,0,0.0287451885698188,0.00459739761598153,0.0145717993644301,0.101552950811445,0.0587867745237861,0.00389581142625139,0.0678968836049882,0.000631701286061237,0.0177338493931094,0,0.0162418871773549,0,0,0,0.0497704199922857,0.00130498308328869,0.0863498289373362,0.0292165450842959,0.168360359552342,0.00123770770591867
TCN1,0,0.000393943978014775,0.541630122711389,0.00115400989009556,0,0.00197990845506367,0,0.0109871024959934,0.00083539587678796,0.00971438632571008,0.0139230620333514,0.00790241890186265,0,0,0,0,0,0,0,0.00353943711623653,0,0.001928955475945,0,0.00542601334320947,0
ANKRD22,0.000551197725096749,0.000801256423206382,0.36930086052066,0,0.00869044787838577,1.67403062376339,0,0,0.0118012853904366,0.000664214210677058,0.211414726826813,0.0903728391782684,0,0,0,0,0.00359174357109406,0,0.0024940717595243,0.00756224483156818,0.00289218916970564,0.0105036237586639,0.000797559087231633,0.00508611960772111,0.000631241000870481
C3AR1,0.0234082319121263,0.00254714024194792,0.567618584421962,0.00243410039104576,0.0180179435797984,1.78905526818871,0.00820526943247528,0.21881937392677,0.988370641193634,1.15023977484654,0.0424459300391521,0.378387686643506,0.000304772494226961,0.645320005191219,0.00774425976875364,0.0116879940119339,0.00840355661254285,0,0.00417040577657681,0.0100298636484476,0.00205260893475593,0.534044256101696,0.210746068249441,0.511179077378839,0.00235650909299392
RNASE3,0.000420019824935737,0,0.0191113757435602,0,0,0.0267317803997654,0,0.229132729070444,0.0803719967525315,0.00682080570564029,0.00480048853216524,0.329692523763314,0,0,0,0,0,0.0256087746065871,0,0.000759255129410782,0,0.108129187660423,0.00856800013969545,0.192791310189201,0
TDRD9,0.00103068791102722,0.00178019578270822,0.286742867199495,0,0.00189124937825177,0.00521094753755588,0,0.0101123793739665,0.0226384358245596,0.00239945100560992,0,0.0150727350412687,0.000428827701237112,0.00612086613927914,0.00368309881201648,0,0.00174216270684698,0.0095775532799289,0.00139866306740304,0.0029984969212739,0.000519505887560224,0.0165617008704,0.0219968583545453,0.0342298671436359,0.000670175527012631
WFDC1,0.00233103390399561,0.00281108227052002,0.0214963793091746,0.0074217746443037,0,0.000470076791744699,0.0704186121217469,0.0287365551738031,0.134506346032339,0.0255034848536468,0,0.0192540190108948,0.00245475486060664,0.00221692229997708,0.00329631570793324,0.314269711098534,0.0418050483896473,0.0126280431175858,0,4.76634459466783,0.00128242703896359,0.00224568849358985,0.000526281165712782,0.00604463005269383,0.000491569630002422
FAM20A,0.0049996296713025,0.00110151163233337,0.0592268358643558,0.00387591591443316,0.00341717147735801,0.48693598556012,0.001437173114975,0.276778999877448,0.355291751075117,0.224033412084662,0.04918885412618,0.417691869014122,0.00233182619783865,0.109505223462855,0,0,0.00153336040225563,0,0.00211669410761298,0.00404506511202796,0.0022859576318913,0.272337725203516,0.0239078155400416,0.406372757744971,0.00194447656056807
EMILIN2,0.0214323056189525,0.0175757341675329,0.313730387019929,0.138170124340376,0.0163722879230313,1.18123100670166,0.0101158745470801,0.95736920789291,1.50120769837012,1.42479381739369,0.629908059872748,1.1195839353858,0.0597471185525834,0.733275376506452,0.0462778903507414,0.0359766233741682,0.0190564388055662,0.048232234769236,0.0188471982075286,0.0236125009603859,0.0442910881651782,0.805237194184238,0.948827746313168,0.994876643408522,0.0117660773138981
RAB31,0.0407955941695622,0.0149277846165952,9.09197961620407,0.97318879540694,0.108504669218178,3.22423952953434,0.0642651670979089,7.20627713167468,5.108995437309,6.20831330106243,2.46193276718546,3.56151225471005,0.289123336313791,2.04181493059949,0.159397005641199,0.305607957184547,0.14917735444764,0.306001593326791,0.0114572191825912,0.949738866038682,0.724736155951214,4.54891399346212,2.94291738176117,3.38060749727013,0.00588380330123418
CD177,0.00787671640626322,0.0123075001638286,19.228153798997,0.0188423936634793,0.00837903716266959,0.00494223811408204,0.0120997232664009,0.0919913884711373,0.0011047917025724,0.0719542032020506,0.00391387817708739,0.0374563173834622,0.00292176178315777,0,0,0.0471226886321226,0.00929480815428307,0.0309913734235838,0.00162948790064721,0.0355549674923938,0.00306231104222084,0.0181672418825997,0,0.00995037592123071,0.00270317377515688
PGLYRP1,0.00044228354084646,0.000424407866145154,1.45628967246897,0.000921100637889825,0,0,0,0.00111505699767087,0.000651535153644368,0.00790800742989863,0.00103847034149474,0.012987012987013,0,0,0,0,0.00310174082101839,0,0.000288506401206926,0.00118573665547514,0.00111279266447076,0.00163029036507083,0,0.00223450207779055,0
LILRA6,0.00115329575227538,0.00124188167825383,0.368343311211699,0,0.00167259601955599,0.426943569209109,0.00154609592226477,0.146280304203881,0.375733038138794,0.136827200142877,0.0301850514226696,0.228472553433511,0.00123259671614776,0.125810796950145,0,0.0147334634752301,0,0,0.000946726394481926,0.00084436909879676,0.000451944309614392,0.435986630731786,0.213498800256453,0.338735590311572,0.000487431006578174
