copy_group,source,target,copied,reason,size_mb
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/02_harmonize_core_phenotype_sepsis_control.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/02_harmonize_core_phenotype_sepsis_control.R,TRUE,copied,0.011975288391113281
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/03_prepare_main_expr_by_dataset.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/03_prepare_main_expr_by_dataset.R,TRUE,copied,0.003612518310546875
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/04_expression_annotation_merge_DEG.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/04_expression_annotation_merge_DEG.R,TRUE,copied,0.015625953674316406
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/05_DEG_QC_and_visualization.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/05_DEG_QC_and_visualization.R,TRUE,copied,0.022774696350097656
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/05b_outlier_sensitivity_DEG.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/05b_outlier_sensitivity_DEG.R,TRUE,copied,0.015176773071289062
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/06_functional_enrichment_GO_KEGG.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/06_functional_enrichment_GO_KEGG.R,TRUE,copied,0.01671886444091797
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/07_candidate_gene_selection_preparation.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/07_candidate_gene_selection_preparation.R,TRUE,copied,0.018227577209472656
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/07b_candidate_gene_refinement_for_modeling.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/07b_candidate_gene_refinement_for_modeling.R,TRUE,copied,0.015730857849121094
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/08_LODO_diagnostic_modeling.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/08_LODO_diagnostic_modeling.R,TRUE,copied,0.022968292236328125
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/09_LODO_calibration_threshold_analysis.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/09_LODO_calibration_threshold_analysis.R,TRUE,copied,0.017208099365234375
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/10_final_compact_model_training.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/10_final_compact_model_training.R,TRUE,copied,0.0201416015625
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/11_model_reporting_tables_and_figures.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/11_model_reporting_tables_and_figures.R,TRUE,copied,0.028656959533691406
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/12_manuscript_structure_and_results_draft.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/12_manuscript_structure_and_results_draft.R,TRUE,copied,0.035424232482910156
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/13_export_manuscript_to_word.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/13_export_manuscript_to_word.R,TRUE,copied,0.01413726806640625
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/14_nested_LODO_full_pipeline.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/14_nested_LODO_full_pipeline.R,TRUE,copied,0.046123504638671875
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/15_cohort_control_type_eligibility_table.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/15_cohort_control_type_eligibility_table.R,TRUE,copied,0.019290924072265625
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/15b_update_cohort_control_type_eligibility_table.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/15b_update_cohort_control_type_eligibility_table.R,TRUE,copied,0.021928787231445312
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/16a_scan_local_RNAseq_files.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/16a_scan_local_RNAseq_files.R,TRUE,copied,0.01795673370361328
all_scripts,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/03_scripts/16b_dataset_platform_classification_and_RNAseq_eligibility.R,/Users/felix/Documents/Sepsis_CrossCohort_scRNA/repository_release_v1/code/all_project_scripts/16b_dataset_platform_classification_and_RNAseq_eligibility.R,TRUE,copied,0.0290679931640625
