gene_symbol,dataset,n_control,n_sepsis,mean_control,mean_sepsis,median_control,median_sepsis,dataset_logFC,dataset_direction,auc,wilcox_p,heldout_dataset
TDRD9,GSE137340,14,43,4.93534616642857,6.7997167887093,4.36161464675,6.3466674295,1.86437062228073,Up_in_Sepsis,0.87375415282392,7.34598051394299e-06,GSE57065
TDRD9,GSE236713,30,125,-3.39393928333333,0.728508634968,-3.5223222,0.61764884,4.12244791830133,Up_in_Sepsis,0.991466666666667,7.12851805331957e-17,GSE57065
TDRD9,GSE54514,18,35,8.22346499241667,8.5398926803,8.05224168325,8.5265431405,0.316427687883333,Up_in_Sepsis,0.619047619047619,0.163232997664367,GSE57065
TDRD9,GSE65682,42,51,3.34773631371429,5.63320040717647,3.2782247165,5.797888853,2.28546409346219,Up_in_Sepsis,0.927637721755369,1.57574257046212e-12,GSE57065
TDRD9,GSE95233,22,51,4.25339464136364,7.46258520078431,4.28958474,7.5901051,3.20919055942068,Up_in_Sepsis,0.993761140819965,2.84841857067922e-11,GSE57065
VNN1,GSE137340,14,43,5.84198521592857,8.33127632462791,5.2407587655,8.28171284,2.48929110869934,Up_in_Sepsis,0.833887043189369,8.99233343862789e-05,GSE57065
VNN1,GSE236713,30,125,-2.51087958666667,0.174100949376,-2.3667963,0.22361732,2.68498053604267,Up_in_Sepsis,0.966933333333334,2.22338235075182e-15,GSE57065
VNN1,GSE54514,18,35,8.22397820144444,8.80589087351429,8.2312779425,8.825949669,0.581912672069842,Up_in_Sepsis,0.73015873015873,0.0066488422773127,GSE57065
VNN1,GSE65682,42,51,5.20893270661429,6.76910780665098,5.2367840215,6.7483131382,1.56017510003669,Up_in_Sepsis,0.878618113912232,3.9231473659526e-10,GSE57065
VNN1,GSE95233,22,51,6.12347101727273,9.81471244029412,6.2628003225,9.948698,3.69124142302139,Up_in_Sepsis,1,1.60188706567253e-11,GSE57065
S100A8,GSE137340,14,43,11.7670707607143,13.8612130895349,11.6478577,13.9794618,2.0941423288206,Up_in_Sepsis,0.900332225913621,8.24610608071691e-06,GSE57065
S100A8,GSE236713,30,125,-1.74534144333333,0.245866349664,-1.83901405,0.19146156,1.99120779299733,Up_in_Sepsis,0.993333333333333,5.44853176760137e-17,GSE57065
S100A8,GSE54514,18,35,14.4818180944444,14.455229432,14.509645465,14.56532383,-0.0265886624444445,Down_in_Sepsis,0.484126984126984,0.858264733607146,GSE57065
S100A8,GSE65682,42,51,12.8216072683333,13.1201117496078,12.79987098,13.13078904,0.298504481274511,Up_in_Sepsis,0.812324929971989,2.45875764364347e-07,GSE57065
S100A8,GSE95233,22,51,10.7613722531818,13.0814998472549,10.6646902575,13.108627835,2.32012759407308,Up_in_Sepsis,1,1.60188706567253e-11,GSE57065
CD177,GSE137340,14,43,4.84320548114286,6.19967237805233,4.274549700375,5.93976807,1.35646689690947,Up_in_Sepsis,0.867109634551495,1.15818527714491e-05,GSE57065
CD177,GSE236713,30,125,-4.59570063022222,0.997677143048,-4.8352926,1.18436154666667,5.59337777327022,Up_in_Sepsis,0.978933333333333,4.22217230068948e-16,GSE57065
CD177,GSE54514,18,35,8.04642282583333,8.34422796814286,7.585268259,7.933347225,0.297805142309523,Up_in_Sepsis,0.546031746031746,0.595788354333167,GSE57065
CD177,GSE65682,42,51,6.95467321429762,9.29277487376471,7.043244875,9.5986285285,2.33810165946709,Up_in_Sepsis,0.872082166199814,7.79851587115787e-10,GSE57065
CD177,GSE95233,22,51,5.19170742772727,11.2084004954902,5.25854487,11.39021861,6.01669306776292,Up_in_Sepsis,1,1.60188706567253e-11,GSE57065
