gene_symbol,train_logFC,train_adjP,train_direction,n_dataset_tested,n_direction_consistent,direction_consistency,mean_auc,median_auc,min_auc,n_auc_ge_070,strict_pass,relaxed_pass,priority_score,heldout_dataset,selection_order_candidate_pool,pool_used
VNN1,2.24395868084934,2.39353900590076e-52,Up_in_Sepsis,5,5,1,0.881919444118733,0.878618113912232,0.73015873015873,5,TRUE,TRUE,0.868804717405703,GSE57065,1,strict
ARG1,3.16307218761012,1.39996269986212e-43,Up_in_Sepsis,5,5,1,0.847793305973552,0.903654485049834,0.519047619047619,4,TRUE,TRUE,0.846011741715568,GSE57065,2,strict
WFDC1,2.013834811249,1.89960268168416e-27,Up_in_Sepsis,5,5,1,0.849701373950567,0.896613190730838,0.562698412698413,4,TRUE,TRUE,0.81228873844209,GSE57065,3,strict
LILRA6,1.06567506508021,2.05808086814597e-38,Up_in_Sepsis,5,5,1,0.8610132610056,0.823996265172736,0.704761904761905,5,TRUE,TRUE,0.811434698017841,GSE57065,4,strict
C3AR1,1.34948211695497,4.0048947502766e-33,Up_in_Sepsis,5,5,1,0.844301506525091,0.875415282392027,0.69281045751634,4,TRUE,TRUE,0.810608537589469,GSE57065,5,strict
OLAH,2.3860044950305,8.43370564680561e-27,Up_in_Sepsis,5,5,1,0.810922965200175,0.782392026578073,0.555555555555555,4,TRUE,TRUE,0.809726845101479,GSE57065,6,strict
C1QB,1.88620411018323,2.26778179105611e-27,Up_in_Sepsis,5,5,1,0.817132000402698,0.822259136212624,0.536507936507936,4,TRUE,TRUE,0.792668060324653,GSE57065,7,strict
RAB31,0.733410839879127,2.75928584134616e-33,Up_in_Sepsis,5,5,1,0.844873045483169,0.880398671096345,0.630952380952381,4,TRUE,TRUE,0.781075052711704,GSE57065,8,strict
TDRD9,2.6474871622947,6.04088929740436e-53,Up_in_Sepsis,5,5,1,0.881133460222708,0.927637721755369,0.619047619047619,4,TRUE,TRUE,0.865612875573021,GSE57065,9,strict
CD177,3.52191549046893,3.17889233524196e-50,Up_in_Sepsis,5,5,1,0.852831376023278,0.872082166199814,0.546031746031746,4,TRUE,TRUE,0.855144605603309,GSE57065,10,strict
